X,1960,1961,1962,1963,1964,bar_width,title,x-title,y-title
Peru,492.99066162109375,626.168212890625,675.233642578125,976.635498046875,1200.9345703125,26.181818181818183,Military expenditure across countries,Cost in lakhs,Country
Thailand,633.1775512695312,577.102783203125,815.4205322265625,864.4859619140625,871.4953002929688
Malaysia,514.0186767578125,422.8971862792969,450.9345703125,612.1495361328125,843.4579467773438
Jordan,563.0841064453125,549.0654296875,619.1588745117188,626.168212890625,619.1588745117188
Nigeria,240.65420532226562,275.700927734375,401.8691711425781,464.9532775878906,542.0560913085938
Sudan,191.5887908935547,198.59812927246094,268.69158935546875,289.7196350097656,415.8878479003906
Ireland,261.6822509765625,268.69158935546875,310.7476501464844,310.7476501464844,359.8130798339844
Ghana,212.6168212890625,268.69158935546875,296.7289733886719,317.75701904296875,331.77569580078125
Libya,51.40187072753906,0.0,247.66355895996094,198.59812927246094,212.6168212890625
Ecuador,226.63551330566406,184.57943725585938,198.59812927246094,177.57009887695312,212.6168212890625
Sri Lanka,170.5607452392578,170.5607452392578,170.5607452392578,149.53271484375,142.5233612060547
