X,Y,bar_type,title,x-title,y-title
22.912254160363100,97.70967741935490,Vertical Simple Bar,Biometric Statistics for a group of office workers,_,Weight (Ibs)
25.937972768532500,120.45161290322600,,,,
27.934947049924400,130.61290322580600,,,,
28.963691376702000,176.0967741935480,,,,
29.93192133131620,157.70967741935500,,,,
30.90015128593040,134.9677419354840,,,,
31.92889561270800,154.80645161290300,,,,
32.89712556732220,114.64516129032300,,,,
33.92586989409990,163.03225806451600,,,,
35.922844175491700,160.12903225806500,,,,
37.91981845688350,145.12903225806500,,,,
38.888048411497700,166.90322580645200,,,,
40.94553706505300,169.3225806451610,,,,
41.913767019667200,165.93548387096800,,,,
46.93645990922850,138.35483870967700,,,,
52.92738275340390,175.12903225806500,,,,
