X,rural 2001 a,rural 2011 a,urban 2001 a,urban 2011 i,bar_width,title,x-title,y-title
Andhra Pradesh,54.88115310668945,59.46519470214844,76.27334594726562,79.3293685913086,26.0,Literacy rate in India,Literacy rate,State
Arunachal Prade,48.00509262084961,59.46519470214844,78.56536865234375,81.62139129638672
Assam,60.22920227050781,68.6332778930664,85.4414291381836,87.73344421386719
Bihar,44.18505859375,59.46519470214844,71.68930053710938,76.27334594726562
Chhattisgarh,60.99320983886719,65.5772476196289,80.09337615966797,83.91341400146484
Goa,80.09337615966797,86.20543670654297,84.67742156982422,89.26145935058594
Gujarat,61.75721740722656,70.92530059814453,81.62139129638672,86.20543670654297
Haryana,64.04923248291016,70.16129302978516,79.3293685913086,82.3853988647461
Himachal Prades,75.50933837890625,81.62139129638672,88.49745178222656,90.78947448730469
Jammu & Kashmir,50.297115325927734,62.52122116088867,71.68930053710938,76.27334594726562
Jharkhand,46.477081298828125,60.22920227050781,79.3293685913086,81.62139129638672
